Raw Data
Scope 1/1, Sample 1/3 (FISHER (Ref. 25°C) | 7.00)
Method Function,Sample (Calib) (C1)
Creation time,6/7/2018 12:07:26 PM,
Sample start time,6/7/2018 12:07:26 PM,
Temperature,25.0 °C,
Method Function,Titration stand (Titrationstand1)
Creation time,6/7/2018 12:07:27 PM,
Method Function,Stir (Stir1)
Creation time,6/7/2018 12:07:36 PM,
Method Function,Measure (normal) [1] (Measurenormal1)
Creation time,6/7/2018 12:08:36 PM,
T,23.8 °C,
E,-14.8 mV,
tMe,00:30 min,
ESTMe,-14.8 mV,
Scope 1/1, Sample 2/3 (FISHER (Ref. 25°C) | 4.00)
Method Function,Sample (Calib) (C1)
Creation time,6/7/2018 12:09:19 PM,
Sample start time,6/7/2018 12:09:19 PM,
Temperature,25.0 °C,
Method Function,Titration stand (Titrationstand1)
Creation time,6/7/2018 12:09:19 PM,
Method Function,Stir (Stir1)
Creation time,6/7/2018 12:09:19 PM,
Method Function,Measure (normal) [1] (Measurenormal1)
Creation time,6/7/2018 12:10:19 PM,
T,23.8 °C,
E,159.8 mV,
tMe,00:30 min,
ESTMe,159.9 mV,
Scope 1/1, Sample 3/3 (FISHER (Ref. 25°C) | 10.00)
Method Function,Sample (Calib) (C1)
Creation time,6/7/2018 12:11:02 PM,
Sample start time,6/7/2018 12:11:02 PM,
Temperature,25.0 °C,
Method Function,Titration stand (Titrationstand1)
Creation time,6/7/2018 12:11:02 PM,
Method Function,Stir (Stir1)
Creation time,6/7/2018 12:11:02 PM,
Method Function,Measure (normal) [1] (Measurenormal1)
Creation time,6/7/2018 12:12:03 PM,
T,23.8 °C,
E,-191.2 mV,
tMe,00:30 min,
ESTMe,-191.1 mV,
After Scope 1 / 1
Method Function,Calibration (Calibration1)
Creation time,6/7/2018 12:12:54 PM,
Successful,Yes,
Calib. temperature,23.8 °C,
SLOPECal1,-58.11 mV/pH,
SLOPECal2,-58.61 mV/pH,
ZEROCal1,6.750 pH,
ZEROCal2,6.752 pH,
Segment limit 1, 2,7.005 pH,
Method Function,Zero point 1 (Cal1.Z1)
Creation time,6/7/2018 12:12:54 PM,
Result,6.750 pH,
Decimal places,3,
Method Function,Slope 1 (Cal1.S1)
Creation time,6/7/2018 12:12:54 PM,
Result,-58.11 mV/pH,
Decimal places,2,
Method Function,Zero point 2 (Cal1.Z2)
Creation time,6/7/2018 12:12:54 PM,
Result,6.752 pH,
Decimal places,3,
Method Function,Slope 2 (Cal1.S2)
Creation time,6/7/2018 12:12:54 PM,
Result,-58.61 mV/pH,
Decimal places,2,

Resource Data
Scope 1/1, Sample 1/3 (FISHER (Ref. 25°C) | 7.00)
Method Function,Titration stand (Titrationstand1)
Type,Rondolino TTL,
Stirrer output,MB/STIRRER2,
Connection,MB/TTL,
Method Function,Measure (normal) [1] (Measurenormal1)
Sensor type,pH,
Unit,mV,
Sensor input,AB1/Sensor1,
Serial number,,
Int. temp. sensor,No,
Mon. life span,No,
Sensor type,Temperature,
Unit,°C,
Sensor input,AB1/PT1000,
Serial number,,
Zero point,0.0 °C,
Calibration method,External (Manual),
Date / Time,7/15/2016 11:24:28 AM,
Performed by,External (METTLER TOLEDO),
Mon. usable life,No,
Mon. life span,No,
Scope 1/1, Sample 2/3 (FISHER (Ref. 25°C) | 4.00)
Method Function,Titration stand (Titrationstand1)
Type,Rondolino TTL,
Stirrer output,MB/STIRRER2,
Connection,MB/TTL,
Method Function,Measure (normal) [1] (Measurenormal1)
Sensor type,pH,
Unit,mV,
Sensor input,AB1/Sensor1,
Serial number,,
Int. temp. sensor,No,
Mon. life span,No,
Sensor type,Temperature,
Unit,°C,
Sensor input,AB1/PT1000,
Serial number,,
Zero point,0.0 °C,
Calibration method,External (Manual),
Date / Time,7/15/2016 11:24:28 AM,
Performed by,External (METTLER TOLEDO),
Mon. usable life,No,
Mon. life span,No,
Scope 1/1, Sample 3/3 (FISHER (Ref. 25°C) | 10.00)
Method Function,Titration stand (Titrationstand1)
Type,Rondolino TTL,
Stirrer output,MB/STIRRER2,
Connection,MB/TTL,
Method Function,Measure (normal) [1] (Measurenormal1)
Sensor type,pH,
Unit,mV,
Sensor input,AB1/Sensor1,
Serial number,,
Int. temp. sensor,No,
Mon. life span,No,
Sensor type,Temperature,
Unit,°C,
Sensor input,AB1/PT1000,
Serial number,,
Zero point,0.0 °C,
Calibration method,External (Manual),
Date / Time,7/15/2016 11:24:28 AM,
Performed by,External (METTLER TOLEDO),
Mon. usable life,No,
Mon. life span,No,
After Scope 1 / 1
Method Function,Calibration (Calibration1)
Sensor type,pH,
Unit,pH,
Sensor input,AB1/Sensor1,
Serial number,,
Calibration,Segmented,
Number of segments,2,
Zero point 1,6.896 pH,
Slope 1 (TCalib),-57.22 mV/pH,
Slope 1 (25.0 °C),-57.90 mV/pH,
Slope 1,97.87 %,
Segment limit 1, 2,7.014 pH,
Zero point 2,6.898 pH,
Slope 2 (TCalib),-58.45 mV/pH,
Slope 2 (25.0 °C),-59.14 mV/pH,
Slope 2,99.97 %,
Int. temp. sensor,No,
Calib. temperature,21.5 °C,
Calibration method,pH_calibration_7_4_10,
Date / Time,4/3/2018 7:17:54 AM,
Performed by,SystemInternal,
Mon. usable life,No,
Mon. life span,No,

Table of Measured Values
Task,T387
Scope 1/1, Sample 1/3 (FISHER (Ref. 25°C) | 7.00)
Result,Measurenormal1
t,E,T
1,-14.8,23.7
2,-14.8,23.7
3,-14.8,23.7
4,-14.9,23.7
5,-14.9,23.7
6,-15.0,23.7
7,-14.9,23.7
8,-14.9,23.7
9,-14.8,23.7
10,-14.9,23.7
11,-14.9,23.7
12,-14.9,23.7
13,-14.9,23.7
14,-14.9,23.7
15,-14.8,23.7
16,-14.8,23.7
17,-14.8,23.7
18,-14.8,23.7
19,-14.9,23.7
20,-14.8,23.7
21,-14.8,23.7
22,-14.8,23.7
23,-14.9,23.7
24,-14.8,23.7
25,-14.9,23.7
26,-14.9,23.7
27,-14.9,23.8
28,-14.9,23.8
29,-14.9,23.8
30,-14.8,23.8
Scope 1/1, Sample 2/3 (FISHER (Ref. 25°C) | 4.00)
Result,Measurenormal1
t,E,T
1,159.9,23.8
2,159.9,23.8
3,159.9,23.8
4,160.0,23.8
5,159.9,23.8
6,159.9,23.8
7,159.9,23.8
8,159.8,23.8
9,159.9,23.8
10,159.9,23.8
11,159.8,23.8
12,159.9,23.8
13,159.9,23.8
14,159.9,23.8
15,159.8,23.8
16,159.9,23.8
17,159.9,23.8
18,160.0,23.8
19,159.9,23.8
20,159.9,23.8
21,160.0,23.8
22,160.0,23.8
23,160.0,23.8
24,159.9,23.8
25,159.9,23.8
26,160.0,23.8
27,159.9,23.8
28,159.9,23.8
29,159.9,23.8
30,159.9,23.8
Scope 1/1, Sample 3/3 (FISHER (Ref. 25°C) | 10.00)
Result,Measurenormal1
t,E,T
1,-191.1,23.8
2,-191.2,23.8
3,-191.2,23.8
4,-191.1,23.8
5,-191.2,23.8
6,-191.2,23.8
7,-191.2,23.8
8,-191.2,23.8
9,-191.2,23.8
10,-191.2,23.8
11,-191.2,23.8
12,-191.2,23.8
13,-191.2,23.8
14,-191.2,23.8
15,-191.1,23.8
16,-191.1,23.8
17,-191.2,23.8
18,-191.2,23.8
19,-191.3,23.8
20,-191.2,23.8
21,-191.2,23.8
22,-191.3,23.8
23,-191.3,23.8
24,-191.2,23.8
25,-191.2,23.8
26,-191.1,23.8
27,-191.1,23.8
28,-191.2,23.8
29,-191.2,23.8
30,-191.1,23.8
